id,season,gameType,startTimeUTC,venueTimezone,venue,awayTeamName,homeTeamName,awayTeamScore,homeTeamScore,lastPeriod,homeTeamPrev10Wins,homeTeamPrev10Losses,homeTeamPrev10OTLs,awayTeamPrev10Wins,awayTeamPrev10Losses,awayTeamPrev10OTLs
2021020965,20212022,2,2022-03-16T23:30:00Z,US/Central,Xcel Energy Center,Boston Bruins,Minnesota Wild,2.0,4.0,REG,3,6,1,8,1,1
2021020966,20212022,2,2022-03-17T02:00:00Z,US/Mountain,Scotiabank Saddledome,New Jersey Devils,Calgary Flames,3.0,6.0,REG,6,3,1,5,5,0
2021020967,20212022,2,2022-03-17T02:00:00Z,US/Pacific,Climate Pledge Arena,Tampa Bay Lightning,Seattle Kraken,4.0,1.0,REG,2,6,2,6,4,0
2021020328,20212022,2,2022-03-17T23:00:00Z,America/New_York,Madison Square Garden,New York Islanders,New York Rangers,2.0,1.0,REG,6,4,0,5,4,1
2021020968,20212022,2,2022-03-17T23:00:00Z,America/Toronto,Scotiabank Arena,Carolina Hurricanes,Toronto Maple Leafs,2.0,3.0,REG,6,3,1,7,2,1
2021020969,20212022,2,2022-03-17T23:00:00Z,America/Montreal,Centre Bell,Dallas Stars,Montréal Canadiens,4.0,3.0,OT,6,3,1,5,4,1
2021020970,20212022,2,2022-03-17T23:00:00Z,US/Eastern,Wells Fargo Center,Nashville Predators,Philadelphia Flyers,4.0,5.0,REG,3,5,2,7,3,0
2021020971,20212022,2,2022-03-17T23:00:00Z,US/Eastern,Nationwide Arena,Washington Capitals,Columbus Blue Jackets,7.0,2.0,REG,4,4,2,6,3,1
2021020972,20212022,2,2022-03-18T00:00:00Z,US/Central,Enterprise Center,Pittsburgh Penguins,St. Louis Blues,3.0,2.0,SO,5,3,2,5,4,1
2021020973,20212022,2,2022-03-18T01:00:00Z,America/Edmonton,Rogers Place,Buffalo Sabres,Edmonton Oilers,1.0,6.0,REG,5,4,1,4,6,0
2021020974,20212022,2,2022-03-18T02:00:00Z,America/Vancouver,Rogers Arena,Detroit Red Wings,Vancouver Canucks,1.0,0.0,REG,7,2,1,2,7,1
2021020976,20212022,2,2022-03-18T02:00:00Z,America/Los_Angeles,Crypto.com Arena,San Jose Sharks,Los Angeles Kings,0.0,3.0,REG,5,4,1,4,3,3
2021020975,20212022,2,2022-03-18T02:30:00Z,US/Pacific,T-Mobile Arena,Florida Panthers,Vegas Golden Knights,3.0,5.0,REG,3,7,0,6,3,1
2021020977,20212022,2,2022-03-18T23:00:00Z,US/Eastern,Canadian Tire Centre,Philadelphia Flyers,Ottawa Senators,1.0,3.0,REG,2,8,0,4,5,1
2021020978,20212022,2,2022-03-18T23:00:00Z,US/Eastern,PNC Arena,Washington Capitals,Carolina Hurricanes,4.0,3.0,SO,6,3,1,6,3,1
2021020979,20212022,2,2022-03-19T00:00:00Z,America/Winnipeg,Canada Life Centre,Boston Bruins,Winnipeg Jets,4.0,2.0,REG,6,3,1,7,2,1
2021020980,20212022,2,2022-03-19T01:00:00Z,US/Mountain,Scotiabank Saddledome,Buffalo Sabres,Calgary Flames,1.0,0.0,OT,7,2,1,4,6,0
2021020981,20212022,2,2022-03-19T02:00:00Z,America/Los_Angeles,Honda Center,Florida Panthers,Anaheim Ducks,3.0,0.0,REG,2,6,2,6,3,1
2021020982,20212022,2,2022-03-19T02:30:00Z,US/Pacific,SAP Center at San Jose,Colorado Avalanche,San Jose Sharks,5.0,3.0,REG,4,4,2,6,3,1
2021020985,20212022,2,2022-03-19T18:00:00Z,America/New_York,UBS Arena,Dallas Stars,New York Islanders,2.0,4.0,REG,6,3,1,6,3,1
2021020988,20212022,2,2022-03-19T18:00:00Z,US/Central,Xcel Energy Center,Chicago Blackhawks,Minnesota Wild,1.0,3.0,REG,4,5,1,4,5,1
2021020989,20212022,2,2022-03-19T19:00:00Z,America/Edmonton,Rogers Place,New Jersey Devils,Edmonton Oilers,3.0,6.0,REG,6,3,1,4,6,0
2021020992,20212022,2,2022-03-19T20:00:00Z,US/Pacific,T-Mobile Arena,Los Angeles Kings,Vegas Golden Knights,1.0,5.0,REG,4,6,0,5,4,1
2021020986,20212022,2,2022-03-19T21:00:00Z,US/Eastern,Nationwide Arena,St. Louis Blues,Columbus Blue Jackets,4.0,5.0,REG,4,4,2,4,3,3
2021020991,20212022,2,2022-03-19T21:00:00Z,America/Phoenix,Gila River Arena,Pittsburgh Penguins,Arizona Coyotes,4.0,1.0,REG,7,3,0,6,3,1
2021020983,20212022,2,2022-03-19T23:00:00Z,America/Montreal,Centre Bell,Ottawa Senators,Montréal Canadiens,1.0,5.0,REG,5,3,2,3,7,0
2021020987,20212022,2,2022-03-19T23:00:00Z,US/Central,Bridgestone Arena,Toronto Maple Leafs,Nashville Predators,3.0,6.0,REG,6,4,0,6,3,1
2021020984,20212022,2,2022-03-20T00:00:00Z,US/Eastern,Amalie Arena,New York Rangers,Tampa Bay Lightning,2.0,1.0,REG,6,4,0,5,5,0
2021020990,20212022,2,2022-03-20T02:00:00Z,America/Vancouver,Rogers Arena,Calgary Flames,Vancouver Canucks,5.0,2.0,REG,6,3,1,6,2,2
2021020993,20212022,2,2022-03-20T02:00:00Z,US/Pacific,Climate Pledge Arena,Detroit Red Wings,Seattle Kraken,2.0,4.0,REG,2,6,2,2,7,1
2021020994,20212022,2,2022-03-20T18:00:00Z,US/Eastern,Wells Fargo Center,New York Islanders,Philadelphia Flyers,1.0,2.0,REG,4,5,1,6,3,1
2021020995,20212022,2,2022-03-20T21:00:00Z,US/Eastern,Capital One Arena,Dallas Stars,Washington Capitals,3.0,2.0,REG,7,2,1,5,4,1
2021020996,20212022,2,2022-03-20T22:00:00Z,US/Eastern,PNC Arena,New York Rangers,Carolina Hurricanes,2.0,0.0,REG,5,3,2,6,4,0
2021020997,20212022,2,2022-03-20T23:00:00Z,America/Chicago,United Center,Winnipeg Jets,Chicago Blackhawks,6.0,4.0,REG,4,5,1,6,3,1
2021020999,20212022,2,2022-03-20T23:00:00Z,US/Pacific,SAP Center at San Jose,Arizona Coyotes,San Jose Sharks,2.0,4.0,REG,3,5,2,7,3,0
2021020998,20212022,2,2022-03-21T02:00:00Z,America/Vancouver,Rogers Arena,Buffalo Sabres,Vancouver Canucks,3.0,2.0,OT,5,4,1,5,5,0
2021020646,20212022,2,2022-03-21T23:00:00Z,America/Montreal,Centre Bell,Boston Bruins,Montréal Canadiens,3.0,2.0,OT,5,3,2,7,2,1
2021021001,20212022,2,2022-03-22T00:00:00Z,US/Central,Xcel Energy Center,Vegas Golden Knights,Minnesota Wild,0.0,3.0,REG,5,4,1,4,6,0
2021021002,20212022,2,2022-03-22T01:30:00Z,America/Denver,Ball Arena,Edmonton Oilers,Colorado Avalanche,2.0,3.0,OT,6,3,1,6,3,1
2021021003,20212022,2,2022-03-22T02:00:00Z,America/Los_Angeles,Honda Center,Nashville Predators,Anaheim Ducks,6.0,3.0,REG,2,6,2,6,4,0
2021021005,20212022,2,2022-03-22T23:00:00Z,US/Eastern,Prudential Center,New York Rangers,New Jersey Devils,4.0,7.0,REG,4,6,0,7,3,0
2021021007,20212022,2,2022-03-22T23:00:00Z,US/Eastern,PPG Paints Arena,Columbus Blue Jackets,Pittsburgh Penguins,1.0,5.0,REG,7,2,1,5,3,2
2021021008,20212022,2,2022-03-22T23:00:00Z,US/Eastern,Capital One Arena,St. Louis Blues,Washington Capitals,5.0,2.0,REG,7,2,1,3,4,3
2021021009,20212022,2,2022-03-22T23:00:00Z,US/Eastern,PNC Arena,Tampa Bay Lightning,Carolina Hurricanes,2.0,3.0,REG,4,4,2,5,5,0
2021021004,20212022,2,2022-03-22T23:30:00Z,America/Detroit,Little Caesars Arena,Philadelphia Flyers,Detroit Red Wings,3.0,6.0,REG,2,7,1,4,5,1
2021021021,20212022,2,2022-03-22T23:30:00Z,America/New_York,UBS Arena,Ottawa Senators,New York Islanders,0.0,3.0,REG,6,3,1,3,7,0
2021021011,20212022,2,2022-03-23T00:00:00Z,America/Winnipeg,Canada Life Centre,Vegas Golden Knights,Winnipeg Jets,0.0,4.0,REG,6,3,1,4,6,0
2021021010,20212022,2,2022-03-23T00:30:00Z,US/Central,American Airlines Center,Edmonton Oilers,Dallas Stars,3.0,5.0,REG,6,4,0,6,2,2
2021021012,20212022,2,2022-03-23T01:00:00Z,US/Mountain,Scotiabank Saddledome,San Jose Sharks,Calgary Flames,4.0,3.0,REG,6,2,2,4,4,2
2021021017,20212022,2,2022-03-23T02:00:00Z,America/Phoenix,Gila River Arena,Seattle Kraken,Arizona Coyotes,4.0,2.0,REG,6,4,0,3,5,2
2021021013,20212022,2,2022-03-23T02:30:00Z,America/Los_Angeles,Crypto.com Arena,Nashville Predators,Los Angeles Kings,1.0,6.0,REG,5,4,1,7,3,0
2021021015,20212022,2,2022-03-23T23:00:00Z,America/Toronto,Scotiabank Arena,New Jersey Devils,Toronto Maple Leafs,2.0,3.0,REG,5,4,1,4,6,0
2021021014,20212022,2,2022-03-23T23:30:00Z,America/New_York,KeyBank Center,Pittsburgh Penguins,Buffalo Sabres,3.0,4.0,SO,6,4,0,7,2,1
2021021016,20212022,2,2022-03-24T01:30:00Z,America/Denver,Ball Arena,Vancouver Canucks,Colorado Avalanche,3.0,1.0,REG,6,3,1,4,4,2
2021021018,20212022,2,2022-03-24T02:00:00Z,America/Los_Angeles,Honda Center,Chicago Blackhawks,Anaheim Ducks,4.0,2.0,REG,2,6,2,3,6,1
2021021019,20212022,2,2022-03-24T23:00:00Z,US/Eastern,TD Garden,Tampa Bay Lightning,Boston Bruins,2.0,3.0,REG,7,2,1,4,6,0
2021021020,20212022,2,2022-03-24T23:00:00Z,America/Montreal,Centre Bell,Florida Panthers,Montréal Canadiens,4.0,3.0,REG,4,3,3,7,2,1
2021021022,20212022,2,2022-03-24T23:00:00Z,US/Eastern,PNC Arena,Dallas Stars,Carolina Hurricanes,4.0,3.0,SO,5,4,1,6,4,0
2021020545,20212022,2,2022-03-24T23:30:00Z,America/New_York,UBS Arena,Detroit Red Wings,New York Islanders,2.0,5.0,REG,7,2,1,3,6,1
2021020675,20212022,2,2022-03-25T00:00:00Z,America/Winnipeg,Canada Life Centre,Ottawa Senators,Winnipeg Jets,5.0,2.0,REG,6,3,1,3,7,0
2021021023,20212022,2,2022-03-25T00:00:00Z,US/Central,Enterprise Center,Philadelphia Flyers,St. Louis Blues,5.0,2.0,REG,3,4,3,4,5,1
2021021024,20212022,2,2022-03-25T00:00:00Z,US/Central,Xcel Energy Center,Vancouver Canucks,Minnesota Wild,2.0,3.0,OT,6,3,1,5,3,2
2021021025,20212022,2,2022-03-25T01:00:00Z,America/Edmonton,Rogers Place,San Jose Sharks,Edmonton Oilers,2.0,5.0,REG,5,3,2,4,4,2
2021021026,20212022,2,2022-03-25T02:00:00Z,US/Pacific,T-Mobile Arena,Nashville Predators,Vegas Golden Knights,1.0,6.0,REG,3,7,0,7,3,0
2021021027,20212022,2,2022-03-25T02:00:00Z,America/Los_Angeles,Crypto.com Arena,Chicago Blackhawks,Los Angeles Kings,4.0,3.0,SO,6,3,1,4,5,1
2021021028,20212022,2,2022-03-25T23:00:00Z,America/New_York,KeyBank Center,Washington Capitals,Buffalo Sabres,4.0,3.0,SO,7,3,0,7,2,1
2021021029,20212022,2,2022-03-25T23:00:00Z,America/New_York,Madison Square Garden,Pittsburgh Penguins,New York Rangers,1.0,5.0,REG,6,4,0,6,2,2
2021021030,20212022,2,2022-03-26T00:00:00Z,America/Winnipeg,Canada Life Centre,Columbus Blue Jackets,Winnipeg Jets,3.0,4.0,OT,6,4,0,4,4,2
2021021031,20212022,2,2022-03-26T01:00:00Z,America/Denver,Ball Arena,Philadelphia Flyers,Colorado Avalanche,3.0,6.0,REG,5,4,1,5,4,1
2021021032,20212022,2,2022-03-26T01:00:00Z,US/Mountain,Scotiabank Saddledome,Arizona Coyotes,Calgary Flames,2.0,4.0,REG,6,3,1,6,4,0
2021021034,20212022,2,2022-03-26T16:30:00Z,US/Eastern,TD Garden,New York Islanders,Boston Bruins,3.0,6.0,REG,8,1,1,7,2,1
2021021037,20212022,2,2022-03-26T16:30:00Z,America/Detroit,Little Caesars Arena,Tampa Bay Lightning,Detroit Red Wings,2.0,1.0,OT,2,7,1,4,6,0
2021021043,20212022,2,2022-03-26T19:00:00Z,US/Pacific,T-Mobile Arena,Chicago Blackhawks,Vegas Golden Knights,4.0,5.0,OT,3,7,0,4,5,1
2021021035,20212022,2,2022-03-26T23:00:00Z,America/Montreal,Centre Bell,Toronto Maple Leafs,Montréal Canadiens,2.0,4.0,REG,4,3,3,5,4,1
2021021036,20212022,2,2022-03-26T23:00:00Z,US/Eastern,Canadian Tire Centre,Florida Panthers,Ottawa Senators,4.0,3.0,SO,4,6,0,8,1,1
2021021038,20212022,2,2022-03-26T23:00:00Z,US/Eastern,Capital One Arena,New Jersey Devils,Washington Capitals,3.0,4.0,REG,7,2,1,4,6,0
2021021040,20212022,2,2022-03-26T23:00:00Z,US/Central,American Airlines Center,Vancouver Canucks,Dallas Stars,4.0,1.0,REG,6,4,0,4,3,3
2021021039,20212022,2,2022-03-27T00:00:00Z,US/Central,Enterprise Center,Carolina Hurricanes,St. Louis Blues,7.0,2.0,REG,3,4,3,5,3,2
2021021041,20212022,2,2022-03-27T00:00:00Z,US/Central,Xcel Energy Center,Columbus Blue Jackets,Minnesota Wild,2.0,3.0,OT,6,3,1,4,4,2
2021021042,20212022,2,2022-03-27T02:00:00Z,US/Mountain,Scotiabank Saddledome,Edmonton Oilers,Calgary Flames,5.0,9.0,REG,6,3,1,6,3,1
2021021044,20212022,2,2022-03-27T02:30:00Z,America/Los_Angeles,Crypto.com Arena,Seattle Kraken,Los Angeles Kings,2.0,4.0,REG,5,3,2,4,5,1
2021021045,20212022,2,2022-03-27T02:30:00Z,US/Pacific,SAP Center at San Jose,Anaheim Ducks,San Jose Sharks,1.0,4.0,REG,4,4,2,1,7,2
2021021048,20212022,2,2022-03-27T18:00:00Z,America/New_York,UBS Arena,Tampa Bay Lightning,New York Islanders,4.0,1.0,REG,7,2,1,4,6,0
2021021049,20212022,2,2022-03-27T21:00:00Z,America/New_York,Madison Square Garden,Buffalo Sabres,New York Rangers,4.0,5.0,OT,6,4,0,6,3,1
2021021050,20212022,2,2022-03-27T21:00:00Z,US/Eastern,PPG Paints Arena,Detroit Red Wings,Pittsburgh Penguins,2.0,11.0,REG,5,3,2,2,6,2
